,Words,Word Count Positive,Relative Ratio Positive,Word Count Negative,Relative Ratio Negative
0,donbas,78,0.00973296730721238,691,0.08622410781133018
1,crimea,98,0.012228599950087347,864,0.10781133017219865
2,referendum,37,0.004616920389318692,272,0.03394060394309958
3,independence,29,0.0036186673321687048,59,0.007362116296481158
4,money,9,0.001123034689293736,52,0.006488644871474919
5,border,19,0.0023708510107312204,117,0.014599450960818567
6,starlink,17,0.0021212877464437236,39,0.00486648365360619
7,peace,40,0.0049912652857499375,111,0.013850761167956077
8,putin,20,0.0024956326428749688,344,0.042924881457449465
9,elon,85,0.010606438732218617,595,0.07424507112553032
